CARD_TYPE COST_TYPE COST POWER_TYPE POWER
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
1 1 10 3 10
2 3 0 3 10
2 3 0 3 10
2 3 0 3 10
2 3 0 3 10
2 3 0 3 10
1 2 10 3 15
1 2 10 3 15
1 2 10 3 15
1 2 10 3 15
1 2 5 3 5
1 2 5 3 5
1 2 5 3 5
1 2 5 3 5
1 2 5 3 5
1 2 10 3 15
1 2 10 3 15
2 1 0 1 10
2 1 0 1 10
2 1 0 1 10
2 1 0 1 10
2 1 0 1 10
2 1 0 1 10
2 1 0 1 10
2 2 0 2 10
2 2 0 2 10
2 2 0 2 10
2 2 0 2 10
2 2 0 2 10
2 2 0 2 10
1 1 5 3 5
1 1 5 3 5
1 1 5 3 5
1 1 5 3 5
1 1 5 3 5
1 1 5 3 5
1 1 5 3 5
