Player_type Player_number Hp Mp Gold
1 0 5 15 15
card_type, cost_type, cost, power_type, power, src_x, src_y, dst_x, dst_y
2 2 0 2 10 1064 672 16 528
2 1 0 1 10 304 672 184 528
2 1 0 1 10 0 672 352 528
1 1 5 3 5 1216 896 520 528
2 2 0 2 10 152 896 688 528
1 1 5 3 5 304 896 856 528
Player_type Player_number Hp Mp Gold
0 1 20 5 5
card_type, cost_type, cost, power_type, power, src_x, src_y, dst_x, dst_y
1 1 10 3 10 456 0 16 528
2 3 0 3 10 152 224 184 528
1 2 5 3 5 152 448 352 528
1 2 10 3 15 760 448 520 528
1 2 10 3 15 760 224 688 528
1 1 5 3 5 912 896 856 528
card_type, cost_type, cost, power_type, power, src_x, src_y
2 1 0 1 10 152 672
2 1 0 1 10 1064 448
1 1 10 3 10 608 0
1 1 5 3 5 760 896
1 2 5 3 5 304 448
1 1 10 3 10 760 0
1 1 5 3 5 1064 896
2 3 0 3 10 456 224
2 1 0 1 10 608 672
2 3 0 3 10 304 224
1 2 10 3 15 912 448
1 2 5 3 5 0 448
2 3 0 3 10 608 224
1 1 5 3 5 608 896
1 2 10 3 15 1064 224
1 2 5 3 5 456 448
2 2 0 2 10 912 672
2 2 0 2 10 0 896
1 2 5 3 5 608 448
2 2 0 2 10 1216 672
2 2 0 2 10 760 672
1 1 10 3 10 912 0
1 1 5 3 5 456 896
1 2 10 3 15 1216 224
2 3 0 3 10 0 224
1 1 10 3 10 1216 0
1 1 10 3 10 1064 0
2 1 0 1 10 456 672
